City,Lat,Lng,Min_Temp,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
New Norfolk,-42.7826,147.0587,53.1,56.71,78,98,1.41,AU,1660363485
Batagay,67.6333,134.6333,59.18,59.18,54,80,10.92,RU,1660363485
Tāttayyangārpettai,11.1333,78.45,85.35,85.35,56,83,8.05,IN,1660363486
Bredasdorp,-34.5322,20.0403,43.3,43.3,86,54,4.7,ZA,1660363487
Nantucket,41.2835,-70.0995,66.02,67.14,45,99,6.85,US,1660363487
Byron Bay,-28.65,153.6167,58.71,59.94,94,100,2.71,AU,1660363466
Ureshinomachi-shimojuku,33.1,129.9833,88.18,88.75,61,70,10.92,JP,1660363488
Jamestown,42.097,-79.2353,50.95,58.71,66,0,1.01,US,1660363412
Butaritari,3.0707,172.7902,81.86,81.86,76,99,14.27,KI,1660363489
Trollhättan Municipality,58.2333,12.4167,49.66,55.4,93,46,2.3,SE,1660363489
Warrnambool,-38.3833,142.4833,56.95,56.95,69,68,9.28,AU,1660363490
Tiksi,71.6872,128.8694,41.95,41.95,76,32,12.06,RU,1660363490
Juradó,7.1053,-77.7641,76.8,76.8,90,100,3.13,CO,1660363491
Wenling,28.3669,121.36,88.66,88.66,67,1,13.98,CN,1660363491
Port-Cartier,50.0334,-66.8654,58.75,58.75,65,98,5.23,CA,1660363492
Saldanha,-33.0117,17.9442,49.55,49.55,77,50,3.58,ZA,1660363493
Khāsh,28.2211,61.2158,81.59,81.59,16,53,14.67,IR,1660363493
Hermanus,-34.4187,19.2345,39.79,39.79,76,45,6.17,ZA,1660363493
Oktyabr'skoye,43.0645,44.7417,66.34,68.14,93,0,0.0,RU,1660363494
Bambous Virieux,-20.3428,57.7575,66.45,71.22,82,40,10.36,MU,1660363494
Thompson,55.7435,-97.8558,54.72,54.72,71,66,3.29,CA,1660363475
Nome,64.5011,-165.4064,50.07,51.17,93,100,8.05,US,1660363495
Henties Bay,-22.116,14.2845,52.84,52.84,90,10,6.89,NA,1660363495
Ushuaia,-54.8,-68.3,35.26,35.26,80,75,17.27,AR,1660363496
Busselton,-33.65,115.3333,55.63,55.63,93,100,27.54,AU,1660363496
Guerrero Negro,27.9769,-114.0611,73.58,73.58,80,21,14.27,MX,1660363497
Pangody,65.85,74.4859,57.9,57.9,87,100,5.41,RU,1660363498
Mar del Plata,-38.0023,-57.5575,51.87,54.09,87,100,5.99,AR,1660363498
Shimoda,34.6667,138.95,76.1,76.1,96,100,24.32,JP,1660363499
Salalah,17.0151,54.0924,75.29,75.29,97,100,6.73,OM,1660363499
Matara,5.9485,80.5353,83.53,83.53,70,79,11.14,LK,1660363500
Saint-Philippe,-21.3585,55.7679,63.1,64.22,80,80,16.51,RE,1660363500
Puerto Escondido,15.85,-97.0667,79.63,79.63,65,40,5.75,MX,1660363501
Korla,41.7597,86.1469,88.09,88.09,13,84,11.5,CN,1660363501
Avarua,-21.2078,-159.775,77.05,77.05,94,100,9.22,CK,1660363502
Huautla,21.0333,-98.2833,71.11,71.11,91,64,4.36,MX,1660363502
Mataura,-46.1927,168.8643,44.47,44.47,78,73,6.51,NZ,1660363503
Punta Arenas,-53.15,-70.9167,33.12,33.91,80,40,6.91,CL,1660363503
Kysyl-Syr,63.8986,122.7617,63.18,63.18,62,100,5.28,RU,1660363503
Road Town,18.4167,-64.6167,81.34,81.34,73,100,17.16,VG,1660363309
Clyde River,70.4692,-68.5914,45.16,45.16,79,100,9.44,CA,1660363504
Verkhoyansk,67.5447,133.385,58.73,58.73,54,94,11.34,RU,1660363277
Port Hedland,-20.3167,118.5667,84.25,84.25,23,39,17.27,AU,1660363505
Djebeniana,35.035,10.9081,79.16,79.16,63,0,6.46,TN,1660363505
‘Āhuimanu,21.4447,-157.8378,76.17,82.11,68,75,14.97,US,1660363505
Saint Paul Harbor,57.79,-152.4072,54.91,54.91,88,100,6.91,US,1660363443
Codrington,-38.2667,141.9667,57.88,57.88,69,85,8.25,AU,1660363506
Klaksvík,62.2266,-6.589,52.72,52.72,87,1,9.62,FO,1660363507
Bonavista,48.6499,-53.1147,60.42,60.42,96,100,12.91,CA,1660363507
Albany,42.6001,-73.9662,53.33,61.43,72,1,4.09,US,1660363507
Rikitea,-23.1203,-134.9692,73.26,73.26,78,87,24.58,PF,1660363508
Alofi,-19.0595,-169.9187,73.94,73.94,72,100,17.65,NU,1660363509
Merauke,-8.4667,140.3333,80.87,80.87,75,54,14.7,ID,1660363509
Kuching,1.55,110.3333,87.22,88.02,74,40,8.05,MY,1660363510
Aklavik,68.2191,-135.0107,70.65,70.65,40,56,4.5,CA,1660363510
Vaini,-21.2,-175.2,73.56,73.56,78,20,10.36,TO,1660363511
Iqaluit,63.7506,-68.5145,47.7,47.7,87,100,13.0,CA,1660363511
Kavaratti,10.5669,72.642,81.23,81.23,82,67,14.05,IN,1660363512
Dunedin,-45.8742,170.5036,54.81,54.81,51,18,11.99,NZ,1660363513
Tasiilaq,65.6145,-37.6368,30.36,30.36,70,2,2.98,GL,1660363513
Tuktoyaktuk,69.4541,-133.0374,57.18,57.18,67,33,11.12,CA,1660363514
Hobyo,5.3505,48.5268,76.87,76.87,79,64,23.53,SO,1660363514
Mareeba,-17.0,145.4333,77.72,80.47,57,80,5.03,AU,1660363515
Puerto Ayora,-0.7393,-90.3518,70.56,70.56,95,100,5.99,EC,1660363515
Fraserburgh,57.6874,-2.0184,54.43,55.49,89,69,4.79,GB,1660363515
Oracon,10.4782,122.5839,83.46,83.46,71,91,2.73,PH,1660363516
Bethel,41.3712,-73.414,56.07,69.89,56,0,5.75,US,1660363517
Agua Verde,22.9,-106.05,82.49,82.49,82,100,8.68,MX,1660363517
Chu,43.5983,73.7614,82.53,82.53,27,0,6.04,KZ,1660363517
Norman Wells,65.282,-126.8329,68.2,68.2,41,75,4.32,CA,1660363518
Narsaq,60.9167,-46.05,46.62,46.62,93,100,2.77,GL,1660363518
Kavieng,-2.5744,150.7967,84.36,84.36,68,89,11.5,PG,1660363519
South San Francisco,37.6547,-122.4078,58.28,69.37,82,20,19.57,US,1660363519
Port Elizabeth,-33.918,25.5701,50.31,51.1,95,100,3.0,ZA,1660363520
Kindu,-2.95,25.95,69.67,69.67,94,93,3.56,CD,1660363520
Pangnirtung,66.1451,-65.7125,53.64,53.64,51,97,4.52,CA,1660363521
Bull Savanna,17.8868,-77.5902,76.78,76.78,85,18,7.05,JM,1660363522
Hilo,19.7297,-155.09,75.61,83.28,81,20,6.91,US,1660363522
Portland,45.5234,-122.6762,63.12,71.42,63,0,4.0,US,1660363253
Morón,-34.6534,-58.6198,56.8,59.99,78,99,3.83,AR,1660363523
San Cristobal,7.7669,-72.225,73.58,73.58,99,73,2.01,VE,1660363523
Ancud,-41.8697,-73.8203,45.86,45.86,89,100,11.74,CL,1660363524
Lagunas,-5.2269,-75.6753,74.26,74.26,83,64,1.23,PE,1660363524
Palmer,42.1584,-72.3287,54.01,64.81,75,65,4.34,US,1660363525
Chapais,49.7834,-74.8492,47.82,47.82,91,3,3.49,CA,1660363525
Hvide Sande,56.0045,8.1294,64.83,64.83,66,20,6.76,DK,1660363526
Cape Town,-33.9258,18.4232,42.12,48.11,88,29,1.01,ZA,1660363255
Kaitangata,-46.2817,169.8464,49.26,49.26,71,48,9.66,NZ,1660363526
Barrow,71.2906,-156.7887,37.63,37.63,86,100,16.4,US,1660363527
Talnakh,69.4865,88.3972,60.21,60.21,49,100,18.23,RU,1660363527
Mahébourg,-20.4081,57.7,66.49,71.26,82,40,10.36,MU,1660363528
Hornepayne,49.2138,-84.7705,51.19,51.19,67,98,6.04,CA,1660363528
Plettenberg Bay,-34.0527,23.3716,52.12,52.12,69,100,4.14,ZA,1660363529
Fort Nelson,58.8053,-122.7002,65.66,65.66,67,0,4.03,CA,1660363529
Hithadhoo,-0.6,73.0833,82.49,82.49,76,36,11.65,MV,1660363512
Nabire,-3.3667,135.4833,81.16,81.16,83,95,2.1,ID,1660363530
Chokurdakh,70.6333,147.9167,40.84,40.84,85,100,7.0,RU,1660363530
Tavda,58.0425,65.2726,64.33,64.33,79,73,11.68,RU,1660363531
George Town,5.4112,100.3354,85.93,87.89,69,20,4.61,MY,1660363531
Pulgaon,20.7333,78.3333,81.36,81.36,75,76,13.33,IN,1660363532
Hobart,-42.8794,147.3294,53.46,57.06,88,75,8.05,AU,1660363532
Port Moresby,-9.4431,147.1797,80.71,80.71,79,62,10.31,PG,1660363532
Vengerovo,55.6848,76.7471,63.97,63.97,68,79,13.8,RU,1660363533
Ambilobe,-13.2,49.05,66.76,66.76,66,5,3.67,MG,1660363533
Arrifes,37.7667,-25.7,68.25,68.25,83,20,6.91,PT,1660363534
São Filipe,14.8961,-24.4956,76.5,76.5,78,58,10.83,CV,1660363534
Āmli,20.2833,73.0167,81.14,81.14,85,100,15.99,IN,1660363534
Christchurch,-43.5333,172.6333,53.8,55.33,48,6,5.75,NZ,1660363437
Chegdomyn,51.1167,133.0167,68.74,68.74,62,98,4.32,RU,1660363535
Ponta do Sol,32.6667,-17.1,66.13,68.72,72,5,4.97,PT,1660363535
Kodino,63.7198,39.6447,54.59,54.59,69,5,5.39,RU,1660363536
Yellowknife,62.456,-114.3525,57.22,57.22,50,3,6.64,CA,1660363537
Pitimbu,-7.4706,-34.8086,73.99,73.99,82,3,13.27,BR,1660363537
Chui,-33.6971,-53.4616,56.28,56.28,90,100,9.13,UY,1660363538
Berlevåg,70.8578,29.0864,49.8,50.0,81,100,24.16,NO,1660363538
Dabou,5.3256,-4.3769,73.74,73.74,90,87,9.98,CI,1660363539
Lokachi,50.737,24.6494,62.74,62.74,95,100,9.24,UA,1660363539
Mayumba,-3.432,10.6554,69.13,69.13,89,53,4.47,GA,1660363540
Hofn,64.2539,-15.2082,49.8,49.8,72,2,0.65,IS,1660363540
Kapaa,22.0752,-159.319,76.48,80.58,77,40,13.8,US,1660363541
Paraje Nuevo,18.8708,-96.8667,69.35,69.35,98,90,3.2,MX,1660363541
Mount Gambier,-37.8333,140.7667,56.08,56.08,83,47,6.04,AU,1660363542
Queenstown,-31.8976,26.8753,48.13,48.13,83,100,4.09,ZA,1660363543
Lamar,33.6668,-95.5836,80.58,83.64,65,0,5.75,US,1660363543
Lagoa,39.05,-27.9833,73.53,73.53,84,1,10.25,PT,1660363544
Lahaina,20.8783,-156.6825,78.8,84.2,79,22,7.4,US,1660363544
Amrāvati,20.9333,77.75,79.92,79.92,77,73,13.8,IN,1660363545
Hasaki,35.7333,140.8333,77.4,77.4,81,58,23.76,JP,1660363545
Antsohihy,-14.8796,47.9875,70.43,70.43,55,0,10.85,MG,1660363546
Lüderitz,-26.6481,15.1594,54.55,54.55,91,29,8.28,NA,1660363546
Beihai,21.4833,109.1,84.16,84.16,74,99,6.53,CN,1660363547
Asău,46.4333,26.4,65.28,65.32,92,2,3.91,RO,1660363547
Southbridge,42.0751,-72.0334,55.85,66.51,77,99,5.03,US,1660363547
Novy Urengoy,66.0833,76.6333,56.5,56.5,93,100,14.0,RU,1660363548
Dali,25.7,100.1833,76.39,76.39,62,10,1.54,CN,1660363548
Torbay,47.6666,-52.7314,59.4,60.76,95,100,3.0,CA,1660363401
Mkushi,-13.6202,29.3939,53.33,53.33,63,2,4.27,ZM,1660363549
Karratha,-20.7377,116.8463,79.05,79.05,32,13,18.75,AU,1660363549
Ribeira Grande,38.5167,-28.7,74.75,74.75,81,3,5.79,PT,1660363549
Zhigansk,66.7697,123.3711,54.01,54.01,61,82,16.42,RU,1660363550
Concordia,-31.393,-58.0209,60.78,60.78,91,80,5.99,AR,1660363551
Bluff,-46.6,168.3333,44.8,44.8,65,29,14.32,NZ,1660363551
Bengkulu,-3.8004,102.2655,83.48,83.48,68,48,4.41,ID,1660363552
Yulara,-25.2406,130.9889,63.16,63.16,27,0,2.15,AU,1660363552
Coquimbo,-29.9533,-71.3436,53.29,53.29,82,0,3.8,CL,1660363417
Husavik,66.0449,-17.3389,46.58,46.58,92,100,6.08,IS,1660363552
Grindavik,63.8424,-22.4338,48.67,48.67,71,100,2.3,IS,1660363553
Elizabeth City,36.2946,-76.2511,66.99,69.82,96,20,3.44,US,1660363454
Balyqshy,47.0667,51.8667,80.6,80.6,36,0,13.42,KZ,1660363554
Adrar,20.5022,-10.0711,86.18,86.18,50,99,14.58,MR,1660363554
Bichura,50.5881,107.6022,74.07,74.07,47,100,1.3,RU,1660363555
Touros,-5.1989,-35.4608,74.8,74.8,82,52,13.49,BR,1660363555
Khatanga,71.9667,102.5,58.51,58.51,41,13,10.74,RU,1660363556
Praia,14.9215,-23.5087,76.93,76.93,78,99,12.06,CV,1660363556
Carauari,-4.8828,-66.8958,78.12,78.12,63,93,1.5,BR,1660363309
Port Augusta,-32.5,137.7667,61.99,61.99,39,52,15.52,AU,1660363557
Cradock,-32.1642,25.6192,46.13,46.13,85,100,4.65,ZA,1660363557
Severo-Kuril'sk,50.6789,156.125,57.54,57.54,93,99,9.53,RU,1660363558
Shakawe,-18.3667,21.85,55.65,55.65,37,0,4.05,BW,1660363558
Bac Lieu,9.285,105.7244,86.54,86.54,64,17,6.29,VN,1660363308
Gorontalo,0.5412,123.0595,87.31,87.31,69,34,7.54,ID,1660363559
Muisne,0.6,-80.0333,72.59,72.59,89,99,6.35,EC,1660363559
Lata,40.1629,-8.3327,56.97,56.97,95,14,1.66,PT,1660363560
Dingle,10.9995,122.6711,87.3,87.3,68,95,3.0,PH,1660363561
Saskylakh,71.9167,114.0833,55.92,55.92,48,74,1.23,RU,1660363562
Mamakan,57.8161,114.0028,60.69,60.69,87,100,1.19,RU,1660363562
Vila do Maio,15.1333,-23.2167,77.18,77.18,78,100,16.73,CV,1660363563
Santa Luzia,-19.7697,-43.8514,59.9,59.9,73,53,4.59,BR,1660363563
Alugan,12.2188,125.4808,85.19,85.19,69,49,5.79,PH,1660363563
Keti Bandar,24.1447,67.4497,82.31,82.31,80,100,12.1,PK,1660363564
Hopkinsville,36.8656,-87.4886,63.73,67.51,100,27,5.86,US,1660363564
Zima,53.9202,102.0442,65.73,65.73,67,81,3.47,RU,1660363565
Port Alfred,-33.5906,26.891,52.18,52.18,83,100,10.22,ZA,1660363515
Benguela,-12.5763,13.4055,68.04,68.04,81,80,1.68,AO,1660363565
Biu,10.6129,12.1946,66.74,66.74,98,100,5.08,NG,1660363566
Port Hardy,50.6996,-127.4199,59.18,59.18,94,100,4.61,CA,1660363566
Barjora,23.4333,87.2833,86.14,86.14,67,57,11.25,IN,1660363566
Sivaki,52.6333,126.75,63.12,63.12,81,98,2.26,RU,1660363567
Aranos,-24.1333,19.1167,50.5,50.5,10,2,7.92,NA,1660363567
Souillac,-20.5167,57.5167,66.58,66.58,82,40,10.36,MU,1660363288
Olafsvik,64.8945,-23.7142,47.03,47.03,72,85,5.39,IS,1660363568
Tarazá,7.5836,-75.4007,73.92,73.92,96,94,3.31,CO,1660363568
Acapulco de Juárez,16.8634,-99.8901,80.42,80.42,83,100,2.3,MX,1660363544
Inta,66.0317,60.1659,52.32,52.32,80,80,12.8,RU,1660363569
Airai,-8.9266,125.4092,75.33,75.33,44,9,3.69,TL,1660363569
Lavrentiya,65.5833,-171.0,44.29,44.29,95,100,8.01,RU,1660363569
Vostok,46.4856,135.8833,69.67,69.67,57,57,5.21,RU,1660363570
Kamenka,51.3223,42.7678,73.71,73.71,47,93,9.35,RU,1660363571
Clearwater,27.9659,-82.8001,76.96,83.93,76,0,5.75,US,1660363571
Taoudenni,22.6783,-3.9836,92.91,92.91,39,0,10.22,ML,1660363571
Tarata,-17.6167,-66.0167,52.07,52.07,33,10,4.72,BO,1660363572
Leningradskiy,69.3833,178.4167,35.2,35.2,81,100,14.27,RU,1660363572
Baie-Comeau,49.2168,-68.1489,57.34,57.34,79,81,4.59,CA,1660363573
Samarai,-10.6167,150.6667,79.34,79.34,84,77,9.98,PG,1660363573
Dikson,73.5069,80.5464,46.15,46.15,96,100,23.96,RU,1660363573
Todos Santos,23.45,-110.2167,81.05,87.3,84,41,1.23,MX,1660363574
Pevek,69.7008,170.3133,32.5,32.5,86,100,6.55,RU,1660363574
Zaraza,9.3503,-65.3245,73.17,73.17,96,95,3.94,VE,1660363575
Northam,51.0333,-4.2167,66.38,67.6,57,10,8.28,GB,1660363575
Srostki,52.4189,85.7022,72.25,72.25,60,79,6.98,RU,1660363576
Kruisfontein,-34.0033,24.7314,48.88,48.88,70,100,5.41,ZA,1660363576
Kangalassy,62.3464,129.9628,74.93,75.13,44,57,5.53,RU,1660363577
Harindānga,22.0383,88.3214,86.16,86.16,76,72,14.2,IN,1660363578
Geraldton,-28.7667,114.6,63.01,63.01,94,100,14.97,AU,1660363578
Cabo San Lucas,22.8909,-109.9124,85.17,87.62,67,31,3.0,MX,1660363478
Laguna,38.421,-121.4238,72.14,80.62,46,0,6.91,US,1660363578
Tonj,7.2737,28.6822,68.7,68.7,93,100,2.26,SS,1660363579
Buala,-8.145,159.5921,84.36,84.36,66,38,3.38,SB,1660363579
Saint Anthony,45.0205,-93.218,62.94,67.78,79,100,12.66,US,1660363580
Marovoay,-16.1,46.6333,66.43,66.43,63,0,7.43,MG,1660363580
Iberia,29.9502,-91.7507,75.18,77.07,94,0,3.44,US,1660363580
Tiznit Province,29.5833,-9.5,76.28,76.28,48,1,1.72,MA,1660363581
Darnah,32.767,22.6367,77.18,77.18,75,0,9.08,LY,1660363581
Arraial do Cabo,-22.9661,-42.0278,67.14,67.14,67,28,12.44,BR,1660363581
Fort-Shevchenko,44.5086,50.263,86.11,86.11,36,52,8.16,KZ,1660363582
Richards Bay,-28.783,32.0377,67.15,67.15,79,100,8.25,ZA,1660363582
Ilulissat,69.2167,-51.1,48.22,48.22,66,75,8.05,GL,1660363583
Lorengau,-2.0226,147.2712,84.85,84.85,63,17,10.94,PG,1660363583
Marsá Maţrūḩ,31.3525,27.2453,76.33,76.33,72,0,11.45,EG,1660363583
Bilma,18.6853,12.9164,87.64,87.64,48,46,3.06,NE,1660363584
Sobolevo,54.4299,31.8996,58.68,58.68,84,7,6.02,RU,1660363584
Coyhaique,-45.5752,-72.0662,33.75,34.41,80,0,4.61,CL,1660363585
Xining,36.6167,101.7667,75.4,75.4,65,100,0.92,CN,1660363585
Hambantota,6.1241,81.1185,84.54,84.54,79,20,6.91,LK,1660363586
Atuona,-9.8,-139.0333,77.09,77.09,71,2,19.86,PF,1660363586
Qaanaaq,77.484,-69.3632,41.99,41.99,72,100,16.51,GL,1660363587
Colwyn Bay,53.2948,-3.7267,61.65,65.95,73,4,8.14,GB,1660363587
Ikalamavony,-21.15,46.5833,54.54,54.54,80,0,5.37,MG,1660363588
Dekernes,31.0876,31.595,72.79,72.79,81,0,4.21,EG,1660363588
Kirya,-3.9167,37.4833,62.96,62.96,85,71,6.17,TZ,1660363589
Visby,57.6409,18.296,58.82,59.22,94,86,2.3,SE,1660363589
Yar-Sale,66.8333,70.8333,50.04,50.04,92,100,8.77,RU,1660363590
Norrtälje,59.758,18.705,53.78,65.01,88,70,4.72,SE,1660363590
Cayenne,4.9333,-52.3333,75.24,80.1,1,20,0.0,GF,1660363590
Liwale,-9.7667,37.9333,60.28,60.28,92,30,0.54,TZ,1660363591
Mossamedes,-15.1961,12.1522,63.16,63.16,87,68,6.35,AO,1660363591
Beitbridge,-22.2167,30.0,62.2,62.2,43,0,5.14,ZW,1660363591
Ariquemes,-9.9133,-63.0408,74.97,74.97,58,3,0.96,BR,1660363592
Longyearbyen,78.2186,15.6401,42.13,42.13,97,100,3.91,SJ,1660363592
Grand Gaube,-20.0064,57.6608,66.6,71.38,57,98,11.01,MU,1660363593
Lompoc,34.6391,-120.4579,57.92,69.57,86,0,8.05,US,1660363593
Udachny,66.4167,112.4,45.03,45.03,78,100,12.35,RU,1660363593
Laas,46.6166,10.7002,46.69,46.69,86,0,1.52,IT,1660363594
Colesberg,-30.72,25.0972,46.99,46.99,65,94,2.8,ZA,1660363594
Mabaruma,8.2,-59.7833,72.59,72.59,98,15,2.24,GY,1660363595
Mouila,-1.8685,11.0559,69.53,69.53,89,93,0.81,GA,1660363595
Soria,41.6667,-2.6667,66.96,66.96,32,3,1.61,ES,1660363595
Chimoio,-19.1164,33.4833,56.93,56.93,66,0,4.07,MZ,1660363596
Paita,-5.0892,-81.1144,62.82,62.82,88,83,10.13,PE,1660363596
Goderich,43.7501,-81.7165,54.91,55.9,56,100,5.26,CA,1660363536
Nikolskoye,59.7035,30.7861,62.49,65.88,78,49,2.48,RU,1660363596
Shirokiy,49.758,129.523,68.74,68.74,78,97,4.38,RU,1660363597
Hong Kong,22.2855,114.1577,83.95,89.33,78,49,8.99,HK,1660363411
Doka,13.5167,35.7667,69.42,69.42,97,100,7.78,SD,1660363597
Gizo Government Station,-8.103,156.8419,84.09,84.09,67,50,3.96,SB,1660363598
Solwezi,-12.1688,26.3894,54.07,54.07,56,31,3.06,ZM,1660363598
Santa Maria,-29.6842,-53.8069,55.72,55.72,91,100,5.08,BR,1660363599
Te Anau,-45.4167,167.7167,46.72,46.72,75,10,1.97,NZ,1660363599
Chimbote,-9.0853,-78.5783,61.09,61.09,87,25,9.37,PE,1660363504
East London,-33.0153,27.9116,59.32,59.32,69,100,11.25,ZA,1660363599
Petatlán,17.5167,-101.2667,76.96,76.96,92,100,1.57,MX,1660363600
Kieta,-6.2167,155.6333,84.02,84.02,64,79,4.25,PG,1660363601
Amzya,56.2354,54.3868,67.14,67.14,68,4,8.7,RU,1660363602
Ostrovnoy,68.0531,39.5131,50.65,50.65,74,99,25.08,RU,1660363603
San Jose,37.3394,-121.895,59.97,68.9,68,20,11.5,US,1660363305
Jati,24.3539,68.2671,81.57,81.57,82,100,11.81,PK,1660363603
Yaan,7.3833,8.5667,70.59,70.59,98,100,6.73,NG,1660363604
Amur Oblast,54.0,128.0,61.16,61.16,80,100,0.22,RU,1660363605
Vila Velha,-20.3297,-40.2925,66.94,66.94,82,86,7.4,BR,1660363322
Río Gallegos,-51.6226,-69.2181,32.05,32.05,80,0,19.57,AR,1660363605
Dolores,-36.3132,-57.6792,53.91,53.91,80,88,5.93,AR,1660363606
Port Lincoln,-34.7333,135.8667,57.49,57.49,68,76,19.1,AU,1660363549
Podosinovets,60.2776,47.0659,59.32,59.32,69,3,4.12,RU,1660363606
Erzin,36.9559,36.2,76.59,76.59,77,0,0.72,TR,1660363607
Oak Harbor,48.2932,-122.6432,58.78,65.14,81,40,11.5,US,1660363549
Manbij,36.5281,37.9549,75.76,75.76,68,0,16.91,SY,1660363607
Quelimane,-17.8786,36.8883,64.35,64.35,100,20,4.61,MZ,1660363607
Kamphaeng Phet,16.25,99.5,85.19,85.19,64,77,2.98,TH,1660363608
Vila Praia de Âncora,41.811,-8.8526,63.1,63.1,90,98,3.53,PT,1660363608
Kapuskasing,49.4169,-82.4331,54.57,54.57,71,62,5.61,CA,1660363577
Bolgatanga,10.7856,-0.8514,73.63,73.63,95,100,3.2,GH,1660363609
Saint-Augustin,51.226,-58.6502,61.03,61.03,97,87,3.91,CA,1660363609
Igarka,67.4667,86.5833,56.98,56.98,54,100,16.89,RU,1660363610
Vanavara,60.34,102.2797,56.91,56.91,58,81,3.29,RU,1660363611
La Providencia,28.7167,-111.5833,86.05,88.21,78,5,7.18,MX,1660363611
